U+0020 space                2.25
U+0021 exclam               2.25
U+0022 quotedbl             2.25
U+0023 numbersign           2.25
U+0024 dollar               2.25
U+0025 percent              2.25
U+0026 ampersand            2.25
U+0027 quotesingle          2.25
U+0028 parenleft            2.25
U+0029 parenright           2.25
U+002a asterisk             2.25
U+002b plus                 2.25
U+002c comma                2.25
U+002d hyphen               2.25
U+002e period               2.25
U+002f slash                2.25
U+0030 zero                 2.25
U+0031 one                  2.25
U+0032 two                  2.25
U+0033 three                2.25
U+0034 four                 2.25
U+0035 five                 2.25
U+0036 six                  2.25
U+0037 seven                2.25
U+0038 eight                2.25
U+0039 nine                 2.25
U+003a colon                2.25
U+003b semicolon            2.25
U+003c less                 2.25
U+003d equal                2.25
U+003e greater              2.25
U+003f question             2.25
U+0040 at                   2.25
U+0041 A                    2.25
U+0042 B                    2.25
U+0043 C                    2.25
U+0044 D                    2.25
U+0045 E                    2.25
U+0046 F                    2.25
U+0047 G                    2.25
U+0048 H                    2.25
U+0049 I                    2.25
U+004a J                    2.25
U+004b K                    2.25
U+004c L                    2.25
U+004d M                    2.25
U+004e N                    2.25
U+004f O                    2.25
U+0050 P                    2.25
U+0051 Q                    2.25
U+0052 R                    2.25
U+0053 S                    2.25
U+0054 T                    2.25
U+0055 U                    2.25
U+0056 V                    2.25
U+0057 W                    2.25
U+0058 X                    2.25
U+0059 Y                    2.25
U+005a Z                    2.25
U+005b bracketleft          2.25
U+005c backslash            2.25
U+005d bracketright         2.25
U+005e asciicircum          2.25
U+005f underscore           2.25
U+0060 grave                2.25
U+0061 a                    2.25
U+0062 b                    2.25
U+0063 c                    2.25
U+0064 d                    2.25
U+0065 e                    2.25
U+0066 f                    2.25
U+0067 g                    2.25
U+0068 h                    2.25
U+0069 i                    2.25
U+006a j                    2.25
U+006b k                    2.25
U+006c l                    2.25
U+006d m                    2.25
U+006e n                    2.25
U+006f o                    2.25
U+0070 p                    2.25
U+0071 q                    2.25
U+0072 r                    2.25
U+0073 s                    2.25
U+0074 t                    2.25
